Type,Product,Started Date,Completed Date,Description,Amount,Currency,State,Balance,Month,Category
Card payment,Current,2024-09-01,2024-09-02,100 Montaditos,-55.11,EUR,Completed,-56580.15,,Dining
Card payment,Current,2024-09-01,2024-09-02,Amazon,-33.77,EUR,Completed,-54994.05,,Shopping
Card payment,Current,2024-09-01,2024-09-02,Dentista,-18.92,EUR,Completed,-54159.49,,Health
Card payment,Current,2024-09-02,2024-09-03,100 Montaditos,-50,EUR,Completed,-57843.14,,Dining
Card payment,Current,2024-09-02,2024-09-03,Burger King,-58.53,EUR,Completed,-55612.41,,Dining
Card payment,Current,2024-09-02,2024-09-03,Uber,-29.97,EUR,Completed,-56641.58,,Transport
Card payment,Current,2024-09-02,2024-09-03,Steam,-58.33,EUR,Completed,-55925.47,,Entertainment
Card payment,Current,2024-09-02,2024-09-03,Carrefour,-24.24,EUR,Completed,-56410.06,,Groceries
Card payment,Current,2024-09-02,2024-09-03,Carrefour,-26.46,EUR,Completed,-56525.04,,Groceries
Card payment,Current,2024-09-03,2024-09-04,Uber,-18.8,EUR,Completed,-54894.48,,Transport
Card payment,Current,2024-09-03,2024-09-04,Dentista,-31.19,EUR,Completed,-57530.7,,Health
Card payment,Current,2024-09-03,2024-09-04,Burger King,-9.07,EUR,Completed,-56593.24,,Dining
Card payment,Current,2024-09-04,2024-09-05,Óptica,-3.26,EUR,Completed,-54774.53,,Health
Card payment,Current,2024-09-04,2024-09-05,Booking.com,-45.58,EUR,Completed,-58032.07,,Travel
Card payment,Current,2024-09-04,2024-09-05,Burger King,-55.1,EUR,Completed,-58110.1,,Dining
Card payment,Current,2024-09-04,2024-09-05,Booking.com,-41.46,EUR,Completed,-54815.99,,Travel
Card payment,Current,2024-09-04,2024-09-05,Metro de Madrid,-4.25,EUR,Completed,-9893.26,2024-09,Transport
Card payment,Current,2024-09-04,2024-09-05,Lidl,-23.42,EUR,Completed,-57608.21,,Groceries
Card payment,Current,2024-09-04,2024-09-05,Spotify,-11.24,EUR,Completed,-56728.7,,Entertainment
Card payment,Current,2024-09-05,2024-09-06,Dentista,-55.82,EUR,Completed,-54586.79,,Health
Card payment,Current,2024-09-05,2024-09-06,Airbnb,-2.86,EUR,Completed,-54478.39,,Travel
Card payment,Current,2024-09-06,2024-09-07,Spotify,-12.75,EUR,Completed,-55986.62,,Entertainment
Card payment,Current,2024-09-06,2024-09-07,Fnac,-3.41,EUR,Completed,-55158.29,,Shopping
Card payment,Current,2024-09-06,2024-09-07,Airbnb,-5.13,EUR,Completed,-10031.38,2024-09,Travel
Card payment,Current,2024-09-06,2024-09-07,Netflix,-12.8,EUR,Completed,-56368.54,,Entertainment
Card payment,Current,2024-09-06,2024-09-07,Uber,-58.86,EUR,Completed,-57677,,Transport
Card payment,Current,2024-09-06,2024-09-07,Burger King,-53.91,EUR,Completed,-57210.05,,Dining
Card payment,Current,2024-09-06,2024-09-07,Fnac,-11.36,EUR,Completed,-54214.78,,Shopping
Card payment,Current,2024-09-07,2024-09-08,Amazon,-57.2,EUR,Completed,-55816.65,,Shopping
Card payment,Current,2024-09-07,2024-09-08,Uber,-9.11,EUR,Completed,-9908.76,2024-09,Transport
Card payment,Current,2024-09-07,2024-09-08,Airbnb,-38.74,EUR,Completed,-55197.03,,Travel
Card payment,Current,2024-09-07,2024-09-08,Uber,-26.37,EUR,Completed,-54771.27,,Transport
Card payment,Current,2024-09-07,2024-09-08,Spotify,-48.58,EUR,Completed,-55079.69,,Entertainment
Card payment,Current,2024-09-07,2024-09-08,Cabify,-40.53,EUR,Completed,-56952.79,,Transport
Card payment,Current,2024-09-08,2024-09-09,Netflix,-27.47,EUR,Completed,-55459.77,,Entertainment
Card payment,Current,2024-09-08,2024-09-09,Lidl,-49.88,EUR,Completed,-9958.64,2024-09,Groceries
Card payment,Current,2024-09-08,2024-09-09,Dentista,-16.48,EUR,Completed,-58126.58,,Health
Card payment,Current,2024-09-08,2024-09-09,Lidl,-45.42,EUR,Completed,-56086.21,,Groceries
Card payment,Current,2024-09-08,2024-09-09,Óptica,-35.98,EUR,Completed,-54359.26,,Health
Card payment,Current,2024-09-08,2024-09-09,100 Montaditos,-57.79,EUR,Completed,-56820.81,,Dining
Card payment,Current,2024-09-09,2024-09-10,McDonald's,-16.72,EUR,Completed,-10000.37,2024-09,Dining
Card payment,Current,2024-09-09,2024-09-10,Carrefour,-49.16,EUR,Completed,-55328.85,,Groceries
Card payment,Current,2024-09-09,2024-09-10,Ryanair,-11.99,EUR,Completed,-54744.9,,Travel
Card payment,Current,2024-09-09,2024-09-10,Steam,-18.94,EUR,Completed,-56660.52,,Entertainment
Card payment,Current,2024-09-10,2024-09-11,Uber,-44.43,EUR,Completed,-57276.87,,Transport
Card payment,Current,2024-09-10,2024-09-11,Burger King,-59.09,EUR,Completed,-56315.34,,Dining
Card payment,Current,2024-09-10,2024-09-11,Dentista,-36.51,EUR,Completed,-9856.87,2024-09,Health
Card payment,Current,2024-09-10,2024-09-11,Amazon,-14.55,EUR,Completed,-57753.12,,Shopping
Card payment,Current,2024-09-10,2024-09-11,Metro de Madrid,-21.9,EUR,Completed,-10078.37,2024-09,Transport
Card payment,Current,2024-09-10,2024-09-11,Carrefour,-19.77,EUR,Completed,-57702.81,,Groceries
Card payment,Current,2024-09-10,2024-09-11,Amazon,-17.41,EUR,Completed,-56717.46,,Shopping
Card payment,Current,2024-09-10,2024-09-11,100 Montaditos,-15.8,EUR,Completed,-55154.88,,Dining
Card payment,Current,2024-09-10,2024-09-11,Fnac,-35.4,EUR,Completed,-55247.77,,Shopping
Card payment,Current,2024-09-10,2024-09-11,Cabify,-21.92,EUR,Completed,-55481.69,,Transport
Card payment,Current,2024-09-10,2024-09-11,100 Montaditos,-4.49,EUR,Completed,-56700.05,,Dining
