Type,Product,Started Date,Completed Date,Description,Amount,Currency,State,Balance,Month,Category
Card payment,Current,2024-07-01,2024-07-02,Cabify,-25.74,EUR,Completed,-48074.51,,Transport
Card payment,Current,2024-07-01,2024-07-02,100 Montaditos,-83.32,EUR,Completed,-9069.15,2024-07,Dining
Card payment,Current,2024-07-01,2024-07-02,Amazon,-138.33,EUR,Completed,-46984.71,,Shopping
Card payment,Current,2024-07-01,2024-07-02,Ryanair,-100.39,EUR,Completed,-41281.42,,Travel
Card payment,Current,2024-07-01,2024-07-02,Steam,-77.26,EUR,Completed,-40553.78,,Entertainment
Card payment,Current,2024-07-01,2024-07-02,Metro de Madrid,-75.33,EUR,Completed,-48375.32,,Transport
Card payment,Current,2024-07-02,2024-07-03,Burger King,-68.86,EUR,Completed,-47311.62,,Dining
Card payment,Current,2024-07-02,2024-07-03,Burger King,-41.97,EUR,Completed,-49270.52,,Dining
Card payment,Current,2024-07-03,2024-07-04,Cabify,-105.68,EUR,Completed,-48228.13,,Transport
Card payment,Current,2024-07-03,2024-07-04,100 Montaditos,-64.29,EUR,Completed,-43435.25,,Dining
Card payment,Current,2024-07-03,2024-07-04,Airbnb,-25.2,EUR,Completed,-43982.82,,Travel
Card payment,Current,2024-07-03,2024-07-04,Farmacia,-114.48,EUR,Completed,-49451.06,,Health
Card payment,Current,2024-07-03,2024-07-04,Netflix,-51.19,EUR,Completed,-42294.31,,Entertainment
Card payment,Current,2024-07-03,2024-07-04,Farmacia,-48.96,EUR,Completed,-8171.45,2024-07,Health
Card payment,Current,2024-07-04,2024-07-05,McDonald's,-10.64,EUR,Completed,-43842.16,,Dining
Card payment,Current,2024-07-04,2024-07-05,Óptica,-132.95,EUR,Completed,-40332.45,,Health
Card payment,Current,2024-07-05,2024-07-06,Steam,-132.07,EUR,Completed,-41939.12,,Entertainment
Card payment,Current,2024-07-05,2024-07-06,Mercadona,-87.77,EUR,Completed,-44337.99,,Groceries
Card payment,Current,2024-07-05,2024-07-06,Óptica,-61.06,EUR,Completed,-8429.24,2024-07,Health
Card payment,Current,2024-07-05,2024-07-06,Óptica,-116.98,EUR,Completed,-44250.22,,Health
Card payment,Current,2024-07-05,2024-07-06,Cabify,-67.19,EUR,Completed,-47378.81,,Transport
Card payment,Current,2024-07-05,2024-07-06,Booking.com,-122.3,EUR,Completed,-40676.08,,Travel
Card payment,Current,2024-07-06,2024-07-07,Carrefour,-93.85,EUR,Completed,-46654.54,,Groceries
Card payment,Current,2024-07-06,2024-07-07,Mercadona,-100.42,EUR,Completed,-44836.54,,Groceries
Card payment,Current,2024-07-06,2024-07-07,Uber,-117.07,EUR,Completed,-41516.91,,Transport
Card payment,Current,2024-07-06,2024-07-07,Cabify,-48.21,EUR,Completed,-41082.79,,Transport
Card payment,Current,2024-07-07,2024-07-08,Ryanair,-86.77,EUR,Completed,-42712.44,,Travel
Card payment,Current,2024-07-07,2024-07-08,Lidl,-67.38,EUR,Completed,-42855.29,,Groceries
Card payment,Current,2024-07-07,2024-07-08,Ryanair,-115.46,EUR,Completed,-43957.62,,Travel
Card payment,Current,2024-07-07,2024-07-08,Ryanair,-20.63,EUR,Completed,-44003.45,,Travel
Card payment,Current,2024-07-07,2024-07-08,Airbnb,-38.86,EUR,Completed,-45853.23,,Travel
Card payment,Current,2024-07-07,2024-07-08,Burger King,-31.43,EUR,Completed,-45167.51,,Dining
Card payment,Current,2024-07-08,2024-07-09,Burger King,-122.61,EUR,Completed,-46454.56,,Dining
Card payment,Current,2024-07-08,2024-07-09,Carrefour,-100.34,EUR,Completed,-40978.27,,Groceries
Card payment,Current,2024-07-08,2024-07-09,Zara,-85.47,EUR,Completed,-8851.55,2024-07,Clothing
Card payment,Current,2024-07-08,2024-07-09,Dentista,-97.46,EUR,Completed,-42625.67,,Health
Card payment,Current,2024-07-08,2024-07-09,McDonald's,-117.38,EUR,Completed,-45418.2,,Dining
Card payment,Current,2024-07-08,2024-07-09,McDonald's,-43.07,EUR,Completed,-43073.03,,Dining
Card payment,Current,2024-07-08,2024-07-09,Mercadona,-55.53,EUR,Completed,-41336.95,,Groceries
Card payment,Current,2024-07-09,2024-07-10,Metro de Madrid,-23.04,EUR,Completed,-41796.03,,Transport
Card payment,Current,2024-07-09,2024-07-10,Dentista,-71.47,EUR,Completed,-42528.21,,Health
Card payment,Current,2024-07-09,2024-07-10,Netflix,-36.02,EUR,Completed,-48122.45,,Entertainment
Card payment,Current,2024-07-09,2024-07-10,Carrefour,-63.56,EUR,Completed,-43605.61,,Groceries
Card payment,Current,2024-07-09,2024-07-10,Uber,-55.52,EUR,Completed,-46216.22,,Transport
Card payment,Current,2024-07-09,2024-07-10,Óptica,-27.76,EUR,Completed,-47606.49,,Health
Card payment,Current,2024-07-10,2024-07-11,Óptica,-98.24,EUR,Completed,-41181.03,,Health
Card payment,Current,2024-07-10,2024-07-11,Óptica,-89.09,EUR,Completed,-47837.14,,Health
Card payment,Current,2024-07-10,2024-07-11,Dentista,-30.35,EUR,Completed,-48618.12,,Health
